Date,DJIA_USD,CAC40_EUR,FTSE100_GBP,NIKKEI225_JPY,USD_per_USD,USD_per_GBP,USD_per_EUR,USD_per_JPY,MXN_per_USD,MXN_per_GBP,MXN_per_EUR,MXN_per_JPY
5/16/2007,13487.53027,6017.910156,6559.5,17529,1,1.9774178266525269,1.3523930311203003,0.008283631,10.772199630737305,21.301139582079713,14.568247710445803,0.089232932
5/17/2007,13476.71973,6027,6579.299805,17498.59961,1,1.9748014211654663,1.349691629,0.008244635,10.81000042,21.347604191458345,14.590167080272977,0.089124505
5/18/2007,13556.53027,6101.140137,6640.899902,17399.58008,1,1.9753085374832153,1.3512965440750122,0.008260367,10.774999618530273,21.283948737861238,14.560219746929533,0.08900545
5/21/2007,13542.87988,6089.910156,6636.799805,17556.86914,1,1.9716088771820068,1.3466018438339233,0.008232485,10.759499549865723,21.213524826551065,14.48876193257945,0.088577422
5/22/2007,13539.9502,6089.720215,6606.600098,17680.05078,1,1.9751136302947998,1.3452069759368896,0.00822098,10.793999671936035,21.31937587743846,14.520163656948853,0.088737255
5/23/2007,13525.65039,6120.200195,6616.399902,17705.11914,1,1.9862946271896362,1.3458044528961182,0.008229098,10.788599967956543,21.429338151250363,14.519345877390833,0.08878045
5/24/2007,13441.12988,6048.310059,6565.5,17696.9707,1,1.9853875637054443,1.3430029153823853,0.008240083,10.829500198364258,21.50075501497804,14.544050338537318,0.08923598
5/25/2007,13507.28027,6057.490234,6570.600098,17481.21094,1,1.984914779663086,1.3450080156326294,0.008212878,10.72700023651123,21.29218131090056,14.427901301800716,0.08809954
5/29/2007,13521.33984,6056.390137,6606.5,17672.56055,1,1.9800019264221191,1.3445920944213867,0.008224361,10.810799598693848,21.40540403157729,14.536115674777648,0.088911916
5/30/2007,13633.08008,6042.149902,6602.100098,17588.25977,1,1.9764018058776855,1.3432012796401978,0.008224361,10.732999801635742,21.21272019043772,14.416579067935118,0.088272063
5/31/2007,13627.63965,6104,6621.5,17875.75,1,1.9798059463500977,1.3456052541732788,0.008213552,10.740500450134277,21.264106657951743,14.45247383815115,0.088217663
6/1/2007,13668.11035,6168.149902,6676.700195,17958.88086,1,1.9809824228286743,1.3441944122314453,0.008187997,10.66100025177002,21.11925410852848,14.330456967227292,0.087292234
6/4/2007,13676.32031,6125.810059,6664.100098,17973.41992,1,1.9915955066680908,1.349199891090393,0.008215577,10.761300086975098,21.43215689912654,14.51914490533784,0.088410286
6/5/2007,13595.45996,6078.540039,6632.799805,18053.81055,1,1.9933819770812988,1.3520090579986572,0.008241306,10.805000305175781,21.538492870695336,14.608458284275912,0.08904731
6/6/2007,13465.66992,5977.870117,6522.700195,18040.92969,1,1.9921907186508179,1.3492909669876099,0.00826378,10.848699569702148,21.61267859219174,14.638052332961479,0.089651263
6/7/2007,13266.73047,5890.490234,6505.100098,18053.38086,1,1.9780046939849854,1.3428045511245728,0.008272667,10.956000328063965,21.671020076211562,14.711767102646604,0.090635346
6/8/2007,13424.38965,5883.290039,6505.100098,17779.08984,1,1.9704822301864624,1.3360053300857544,0.008216252,10.932000160217285,21.54131205610372,14.605210482548614,0.089820066
6/11/2007,13424.95996,5940.089844,6567.5,17834.48047,1,1.969395637512207,1.335594892501831,0.008212878,10.919500350952148,21.504816354978175,14.584028897403641,0.08968052
6/12/2007,13295.00977,5898.160156,6520.5,17760.91016,1,1.9748014211654663,1.3306012153625488,0.008222332,10.993000030517578,21.708992083138128,14.627299201087226,0.090388092
6/13/2007,13482.34961,5934.27002,6559.600098,17732.76953,1,1.9728145599365234,1.3310085535049438,0.008158603,10.917400360107422,21.538006387076166,14.531153261340933,0.089070738
6/14/2007,13553.73047,6047.22998,6649.899902,17842.28906,1,1.9697058200836182,1.331593394,0.008133057,10.869000434875488,21.408733415065626,14.473089181500995,0.088398197
6/15/2007,13639.48047,6105.279785,6732.399902,17971.49023,1,1.976792573928833,1.3379000425338745,0.008103728,10.805000305175781,21.35924436457026,14.456010367873205,0.087560779
6/18/2007,13612.98047,6087.149902,6703.5,18149.51953,1,1.9838120937347412,1.341597557067871,0.008085382,10.777799606323242,21.38112920287358,14.459469622410325,0.087142623
6/19/2007,13635.41992,6071.669922,6650.200195,18163.60938,1,1.9875973463058472,1.3424079418182373,0.008102415,10.733499526977539,21.333875176395622,14.408735008516942,0.086967264
6/20/2007,13489.41992,6093.290039,6649.299805,18211.67969,1,1.9923096895217896,1.3396027088165283,0.008099133,10.84280014038086,21.602215781229006,14.525044439210433,0.087817284
6/21/2007,13545.83984,6029.790039,6596,18240.30078,1,1.9929053783416748,1.3394052982330322,0.008081461,10.79699993133545,21.51739923311311,14.461558913052386,0.087255537
6/22/2007,13360.25977,6023.25,6567.399902,18188.63086,1,1.997602939605713,1.347091555595398,0.008084728,10.791999816894531,21.55813055845283,14.537811821325704,0.087250381
6/25/2007,13352.0498,6002.850098,6588.399902,18087.48047,1,1.998201608657837,1.3468012809753418,0.008091924,10.840999603271484,21.662502846716052,14.600672152739207,0.087724546
6/26/2007,13337.66016,5953.359863,6559.299805,18066.10938,1,1.9984012842178345,1.3448994159698486,0.008127438,10.848999977111816,21.68065548673951,14.590813733074583,0.088174577
6/27/2007,13427.73047,5941.669922,6527.600098,17849.2793,1,1.9996000528335571,1.345496654510498,0.008120179,10.814499855041504,21.624674481509487,14.55087337516261,0.08781567
6/28/2007,13422.28027,6006.310059,6571.299805,17932.26953,1,2.0022025108337402,1.344700574874878,0.008119519,10.79800033569336,21.619783384108814,14.520077258905985,0.08767457
6/29/2007,13408.62012,6054.930176,6607.899902,18138.35938,1,2.008314371109009,1.3536012172698975,0.008119519,10.78499984741211,21.659670185966206,14.59858892171269,0.087569012
7/2/2007,13535.42969,6026.950195,6590.600098,18146.30078,1,2.0177969932556152,1.363493800163269,0.008181297,10.755999565124512,21.703423581966945,14.66573872160609,0.087998031
7/3/2007,13577.2998,6069.839844,6639.799805,18149.90039,1,2.0169830322265625,1.3611923456192017,0.008165265,10.765800476074219,21.714436888578348,14.654325202495784,0.087905613
7/5/2007,13565.83984,6059.529785,6635.200195,18221.48047,1,2.0121939182281494,1.3598966598510742,0.008133388,10.789999961853027,21.711572300922626,14.67328490791715,0.087759254
7/6/2007,13611.67969,6102.689941,6690.100098,18140.93945,1,2.011991500854492,1.3629920482635498,0.008106355,10.776000022888184,21.68122045925884,14.687602343284425,0.087354085
7/9/2007,13649.96973,6104.660156,6712.700195,18261.98047,1,2.0147886276245117,1.3623977899551392,0.008105698,10.755499839782715,21.67005876161147,14.653269211582824,0.087180835
7/10/2007,13501.7002,6019.220215,6630.899902,18252.66992,1,2.0274105072021484,1.3760079145431519,0.008244703,10.851799964904785,22.001053270903867,14.932162638748082,0.089469865
7/11/2007,13577.87012,6001.089844,6615.100098,18049.50977,1,2.032313823699951,1.3754022121429443,0.008178621,10.799500465393066,21.947974084872385,14.85365683014038,0.088325025
7/12/2007,13861.73047,6103.049805,6697.700195,17984.14063,1,2.0295915603637695,1.378796935081482,0.008169935,10.75249958,21.82318240116092,14.825513465897416,0.087847218
7/13/2007,13907.25,6117.959961,6716.700195,18238.94922,1,2.034795045852661,1.3784927129745483,0.008203445,10.758999824523926,21.892359541270935,14.831202857000676,0.088260867
7/17/2007,13971.5498,6099.209961,6659.200195,18217.26953,1,2.0477116107940674,1.379006028175354,0.008196721,10.746999740600586,22.00675615002865,14.820177427087174,0.088090162
7/18/2007,13918.21973,5995.970215,6567.100098,18015.58008,1,2.053683280944824,1.3807005882263184,0.008203445,10.725299835205078,22.026368954680947,14.808427791371287,0.087984411
7/19/2007,14000.41016,6065.5,6640.200195,18116.57031,1,2.048886299133301,1.379805088043213,0.008189404,10.744999885559082,22.015283049710888,14.826005513118162,0.08799515
7/20/2007,13851.08008,5957.160156,6585.200195,18157.92969,1,2.057020664215088,1.3833937644958496,0.008246063,10.786999702453613,22.189081292829087,14.922668125992914,0.088950276
7/23/2007,13943.41992,6009.160156,6624.399902,17963.64063,1,2.0593080520629883,1.3804908990859985,0.008261049,10.741999626159668,22.121086325408214,14.82923272189862,0.088740185
7/24/2007,13716.9502,5907.470215,6498.700195,18002.0293,1,2.0618982315063477,1.3824948072433472,0.008325701,10.832599639892578,22.335718040110805,14.976012751097642,0.09018899
7/25/2007,13785.07031,5837.109863,6454.299805,17858.41992,1,2.0530929565429688,1.3726081848144531,0.008301511,10.86400032043457,22.304802537764772,14.912015759655333,0.090187617
7/26/2007,13473.57031,5675.049805,6251.200195,17702.08984,1,2.047879457473755,1.3750051259994507,0.008441668,10.956999778747559,22.438614762441603,15.06593086135274,0.092495356
7/27/2007,13265.46973,5643.959961,6215.200195,17283.81055,1,2.0246193408966064,1.3636053800582886,0.008406187,11.005000114440918,22.28093607826645,15.006477363593717,0.092510089
7/30/2007,13358.30957,5646.359863,6206.100098,17289.30078,1,2.028315305709839,1.3711966276168823,0.008392782,10.888999938964844,22.086325240075894,14.930959994429031,0.091389004
7/31/2007,13211.99023,5751.080078,6360.100098,17248.89063,1,2.029385566711426,1.3672035932540894,0.00844452,10.987500190734863,22.29787430131637,15.022149741652697,0.092784161
8/1/2007,13362.37012,5654.299805,6250.600098,16870.98047,1,2.0319833755493164,1.367708444595337,0.008404774,10.943900108337402,22.237823083813964,14.968064594980888,0.091981004
8/2/2007,13463.33008,5682.069824,6300.299805,16984.10938,1,2.036618471,1.3707079887390137,0.008393487,10.943699836730957,22.28814123015968,15.000616792568962,0.091855799
8/3/2007,13181.91016,5597.890137,6224.299805,16979.85938,1,2.0428173542022705,1.3787018060684204,0.008471704,10.958000183105469,22.38519294139951,15.107814643345591,0.092832939
